'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','-','FP1-F3','F3-C3','C3-P3','P3-O1','-','FZ-CZ','CZ-PZ','-','FP2-F4','F4-C4','C4-P4','P4-O2','-','FP2-F8','F8-T8','T8-P8','P8-O2','-','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'[17:56:45.152 10/08/2055]',31.258,248.107,16.410,33.993,0.000,189.109,32.430,37.509,69.939,0.000,7.424,9.377,0.000,111.746,45.324,-17.192,35.165,0.000,231.306,-109.402,66.032,-10.940,0.000,-16.410,-129.328,239.121,-129.719,66.032
'[17:56:45.156 10/08/2055]',6.252,211.770,47.277,33.211,0.000,174.261,23.443,35.946,64.469,0.000,7.814,5.470,0.000,111.746,49.231,-13.675,28.132,0.000,228.962,-108.620,82.051,-24.615,0.000,-47.277,-103.150,240.293,-126.984,82.051
'[17:56:45.160 10/08/2055]',-39.853,184.029,72.283,26.178,0.000,142.222,14.847,32.821,51.184,0.000,9.377,0.781,0.000,130.501,32.039,-17.192,23.443,0.000,237.167,-97.289,52.357,-21.490,0.000,-72.283,-76.190,232.088,-99.243,52.357
'[17:56:45.164 10/08/2055]',-31.258,189.499,66.032,23.053,0.000,136.752,30.085,35.556,43.370,0.000,8.987,-0.781,0.000,96.508,29.304,-14.457,25.006,0.000,228.571,-94.164,16.410,-11.331,0.000,-66.032,-89.084,253.187,-89.084,16.410
'[17:56:45.168 10/08/2055]',-51.966,171.917,81.270,24.615,0.000,99.634,42.979,41.416,40.244,0.000,12.503,1.172,0.000,58.217,34.383,-14.847,21.880,0.000,197.314,-108.230,26.178,-13.284,0.000,-81.270,-82.833,273.114,-107.057,26.178
'[17:56:45.172 10/08/2055]',-54.701,155.507,80.879,26.960,0.000,88.694,43.370,42.198,33.211,0.000,19.145,2.344,0.000,82.051,26.569,-23.443,19.927,0.000,206.691,-102.759,3.126,0.781,0.000,-80.879,-76.972,273.895,-103.150,3.126
'[17:56:45.176 10/08/2055]',-58.999,163.712,80.098,28.523,0.000,82.051,47.668,48.449,33.993,0.000,14.847,3.516,0.000,89.866,22.662,-24.225,17.192,0.000,207.082,-94.945,-5.861,1.563,0.000,-80.098,-97.289,272.332,-82.051,-5.861
'[17:56:45.180 10/08/2055]',-83.223,152.772,89.084,30.867,0.000,62.906,41.416,48.059,34.383,0.000,13.675,6.642,0.000,94.554,20.708,-17.582,11.331,0.000,200.830,-97.680,25.006,-16.410,0.000,-89.084,-99.243,263.346,-73.846,25.006
'[17:56:45.184 10/08/2055]',-97.289,133.626,90.256,25.397,0.000,56.264,26.569,41.026,26.569,0.000,7.814,5.079,0.000,73.065,15.238,-25.006,10.940,0.000,181.685,-114.872,14.457,-4.298,0.000,-90.256,-84.005,254.359,-83.223,14.457
'[17:56:45.188 10/08/2055]',-108.230,129.719,80.879,21.880,0.000,48.059,19.536,35.165,19.927,0.000,1.954,1.172,0.000,2.735,21.880,-32.039,10.940,0.000,123.468,-107.057,-10.549,-0.391,0.000,-80.879,-84.005,249.670,-65.641,-10.549
'[17:56:45.191 10/08/2055]',-134.799,128.547,69.548,19.145,0.000,14.066,14.457,34.383,17.582,0.000,-0.391,0.391,0.000,-53.138,24.615,-21.099,11.722,0.000,85.177,-122.295,23.053,-21.880,0.000,-69.548,-90.256,263.346,-87.131,23.053
'[17:56:45.195 10/08/2055]',-135.580,116.825,64.078,11.331,0.000,-5.470,19.145,28.132,14.457,0.000,-3.907,-3.126,0.000,-37.509,12.112,-24.615,14.847,0.000,103.150,-122.295,0.781,-15.629,0.000,-64.078,-82.833,263.346,-85.958,0.781
'[17:56:45.199 10/08/2055]',-141.441,109.402,58.217,9.377,0.000,-20.317,15.629,24.225,15.238,0.000,-8.987,-5.861,0.000,-6.642,-3.126,-24.225,17.973,0.000,124.249,-134.799,12.112,-17.192,0.000,-58.217,-85.958,261.001,-95.726,12.112
'[17:56:45.203 10/08/2055]',-161.758,106.667,54.310,2.735,0.000,-45.714,11.331,21.490,13.284,0.000,-16.020,-4.689,0.000,28.523,-25.006,-8.987,14.066,0.000,144.567,-121.905,16.801,-30.867,0.000,-54.310,-94.945,253.968,-75.409,16.801
'[17:56:45.207 10/08/2055]',-172.698,85.177,56.264,8.596,0.000,-62.125,0.000,16.020,23.053,0.000,-22.271,-4.298,0.000,5.861,-23.834,-22.662,20.317,0.000,111.746,-99.634,-18.755,-12.503,0.000,-56.264,-85.177,244.982,-50.794,-18.755
'[17:56:45.211 10/08/2055]',-195.360,77.753,41.026,5.079,0.000,-79.707,-14.847,9.768,13.675,0.000,-26.178,-7.424,0.000,-51.966,-22.271,-27.741,18.364,0.000,56.264,-100.806,-29.695,-8.987,0.000,-41.026,-87.131,235.604,-43.370,-29.695
'[17:56:45.215 10/08/2055]',-189.890,71.111,41.416,3.907,0.000,-72.283,-21.880,10.159,11.331,0.000,-21.099,-8.596,0.000,-109.792,-7.814,-28.523,19.927,0.000,15.238,-52.747,-92.601,3.516,0.000,-41.416,-87.521,237.167,8.205,-92.601
'[17:56:45.219 10/08/2055]',-186.764,58.608,35.165,9.377,0.000,-82.442,-23.834,9.377,13.284,0.000,-21.099,-10.940,0.000,-159.805,4.298,-26.178,16.020,0.000,-7.033,-134.408,-31.648,9.768,0.000,-35.165,-82.442,228.181,-55.092,-31.648
'[17:56:45.223 10/08/2055]',-164.884,59.780,30.085,10.159,0.000,-55.873,-26.569,11.331,7.424,0.000,-19.536,-13.284,0.000,-102.369,0.000,-12.894,2.735,0.000,22.271,-205.910,95.726,-25.006,0.000,-30.085,-85.958,223.492,-140.269,95.726
'[17:56:45.227 10/08/2055]',-173.480,48.059,26.960,13.284,0.000,-64.469,-36.728,11.331,5.861,0.000,-24.225,-16.410,0.000,-39.072,-15.629,-11.722,3.516,0.000,56.654,-176.606,79.707,-22.662,0.000,-26.960,-86.740,214.505,-117.216,79.707
'[17:56:45.230 10/08/2055]',-196.532,42.979,24.225,13.675,0.000,-89.475,-38.291,9.768,3.907,0.000,-30.476,-18.364,0.000,-14.847,-31.648,-11.331,1.563,0.000,60.562,-187.546,96.899,-26.569,0.000,-24.225,-90.647,207.473,-126.203,96.899
'[17:56:45.234 10/08/2055]',-218.413,39.853,17.192,16.410,0.000,-111.355,-40.635,7.033,1.563,0.000,-34.383,-21.490,0.000,0.781,-50.794,-15.238,5.079,0.000,50.403,-151.600,61.343,-19.927,0.000,-17.192,-92.991,203.565,-102.369,61.343
'[17:56:45.238 10/08/2055]',-247.326,29.304,18.364,14.457,0.000,-150.037,-36.337,5.861,-2.344,0.000,-32.821,-23.443,0.000,-52.357,-62.125,-17.582,10.549,0.000,5.079,-103.541,-19.927,-1.954,0.000,-18.364,-89.866,203.565,-48.449,-19.927
'[17:56:45.242 10/08/2055]',-239.902,23.443,16.801,14.847,0.000,-156.288,-31.648,6.642,-1.954,0.000,-30.867,-22.271,0.000,-126.203,-46.105,-18.755,9.377,0.000,-39.853,-134.799,-8.596,1.954,0.000,-16.801,-87.912,195.360,-65.250,-8.596
'[17:56:45.246 10/08/2055]',-170.354,7.033,18.755,19.536,0.000,-90.647,-38.291,7.814,-1.954,0.000,-33.993,-23.834,0.000,-145.739,-40.635,-8.987,3.126,0.000,-56.654,-156.679,37.900,-14.457,0.000,-18.755,-73.846,177.778,-83.223,37.900
'[17:56:45.250 10/08/2055]',-172.308,-5.470,22.271,22.662,0.000,-84.786,-50.012,6.642,-4.298,0.000,-37.900,-25.788,0.000,-122.686,-39.853,-11.722,3.907,0.000,-41.416,-134.799,18.364,-11.331,0.000,-22.271,-65.641,178.559,-69.939,18.364
'[17:56:45.254 10/08/2055]',-152.772,-14.066,27.741,18.364,0.000,-63.687,-57.436,6.252,-5.470,0.000,-39.463,-28.523,0.000,-96.508,-34.774,-28.132,8.205,0.000,-24.615,-114.481,-19.927,8.987,0.000,-27.741,-63.687,162.930,-44.151,-19.927
'[17:56:45.258 10/08/2055]',-144.957,-18.755,35.946,23.834,0.000,-53.529,-60.171,8.987,1.172,0.000,-45.324,-28.913,0.000,-75.409,-39.853,-30.476,18.755,0.000,-14.066,-73.455,-58.608,20.317,0.000,-35.946,-61.734,157.070,-6.252,-58.608
'[17:56:45.262 10/08/2055]',-209.035,-23.443,35.946,22.271,0.000,-127.766,-57.827,8.987,2.735,0.000,-41.416,-26.960,0.000,-89.475,-49.621,-32.821,30.476,0.000,-31.258,-101.197,-57.436,49.231,0.000,-35.946,-58.217,146.129,-33.993,-57.436
'[17:56:45.266 10/08/2055]',-229.744,-21.880,37.509,15.238,0.000,-175.824,-40.244,11.331,6.642,0.000,-34.774,-22.271,0.000,-133.626,-39.853,-24.225,32.821,0.000,-54.701,-110.183,-44.542,45.714,0.000,-37.509,-57.827,136.752,-40.635,-44.542
'[17:56:45.270 10/08/2055]',-201.221,-29.304,38.681,17.192,0.000,-159.805,-39.072,11.722,13.284,0.000,-27.741,-15.629,0.000,-163.321,-34.383,-0.391,32.039,0.000,-85.958,-151.990,67.595,5.470,0.000,-38.681,-48.449,113.309,-81.661,67.595
'[17:56:45.273 10/08/2055]',-178.168,-36.337,34.774,15.238,0.000,-146.520,-40.635,9.768,13.284,0.000,-26.960,-11.722,0.000,-127.766,-35.556,8.596,28.523,0.000,-58.999,-178.559,120.733,-7.424,0.000,-34.774,-39.072,107.448,-123.077,120.733
'[17:56:45.277 10/08/2055]',-150.427,-34.774,26.178,13.675,0.000,-121.514,-45.324,5.079,16.410,0.000,-26.960,-10.159,0.000,-86.349,-40.244,8.596,28.132,0.000,-22.271,-141.832,82.442,-7.033,0.000,-26.178,-39.072,105.885,-90.647,82.442
'[17:56:45.281 10/08/2055]',-124.640,-37.900,21.490,17.582,0.000,-85.958,-63.297,5.470,20.317,0.000,-28.913,-7.424,0.000,-71.502,-41.026,3.516,24.615,0.000,-19.145,-109.792,51.575,-5.470,0.000,-21.490,-37.118,96.508,-55.482,51.575
'[17:56:45.285 10/08/2055]',-150.037,-46.496,13.675,21.490,0.000,-121.514,-67.204,3.126,25.397,0.000,-32.821,-2.344,0.000,-85.568,-42.198,2.735,25.788,0.000,-32.430,-112.137,39.072,7.424,0.000,-13.675,-31.258,91.429,-58.999,39.072
'[17:56:45.289 10/08/2055]',-179.731,-49.621,6.252,21.099,0.000,-164.884,-65.250,0.000,28.523,0.000,-35.556,-1.954,0.000,-135.971,-41.026,0.000,21.880,0.000,-71.893,-84.786,-17.973,20.708,0.000,-6.252,-29.695,103.932,-40.635,-17.973
'[17:56:45.293 10/08/2055]',-176.996,-57.045,5.861,19.145,0.000,-164.103,-70.720,-1.563,28.132,0.000,-30.476,-1.954,0.000,-157.070,-33.211,6.252,15.238,0.000,-91.429,-100.415,14.066,10.549,0.000,-5.861,-23.443,92.991,-53.529,14.066
'[17:56:45.297 10/08/2055]',-156.288,-71.893,10.159,20.708,0.000,-147.302,-71.893,-5.861,28.913,0.000,-31.258,-3.907,0.000,-146.911,-33.993,17.192,11.722,0.000,-67.985,-127.766,49.231,-3.907,0.000,-10.159,-5.079,92.601,-81.270,49.231
'[17:56:45.301 10/08/2055]',-119.560,-73.065,14.066,11.331,0.000,-109.792,-69.548,-10.159,23.053,0.000,-32.039,-12.894,0.000,-105.495,-47.277,16.410,8.596,0.000,-49.231,-101.587,33.602,-8.596,0.000,-14.066,-0.391,87.521,-62.515,33.602
'[17:56:45.305 10/08/2055]',-112.137,-73.455,13.284,8.596,0.000,-94.554,-77.753,-12.112,21.099,0.000,-28.913,-20.708,0.000,-69.939,-45.714,6.252,9.377,0.000,-15.238,-66.422,-8.205,-7.424,0.000,-13.284,-0.391,82.442,-19.536,-8.205
'[17:56:45.309 10/08/2055]',-124.640,-77.753,14.066,-1.563,0.000,-115.263,-75.800,-15.629,17.192,0.000,-30.867,-29.304,0.000,-71.893,-56.654,1.563,11.331,0.000,-14.847,-30.085,-60.952,-7.424,0.000,-14.066,3.126,78.926,16.410,-60.952
'[17:56:45.313 10/08/2055]',-146.911,-72.674,3.907,-10.549,0.000,-156.288,-61.734,-21.490,13.284,0.000,-26.569,-35.946,0.000,-96.508,-44.933,-15.238,5.079,0.000,-57.436,-66.032,-9.768,-16.410,0.000,-3.907,0.000,74.628,-32.430,-9.768
'[17:56:45.316 10/08/2055]',-173.089,-69.548,0.781,-14.847,0.000,-191.453,-52.357,-23.834,10.549,0.000,-15.629,-41.026,0.000,-126.984,-19.536,-18.364,0.000,0.000,-72.283,-61.734,-3.907,-25.788,0.000,-0.781,-0.781,71.893,-28.523,-3.907
'[17:56:45.320 10/08/2055]',-169.963,-64.469,-5.861,-12.503,0.000,-191.453,-46.886,-28.523,13.284,0.000,-5.079,-41.416,0.000,-144.567,-12.503,-14.066,-0.781,0.000,-83.223,-87.131,11.722,-13.675,0.000,5.861,2.344,51.575,-44.933,11.722
'[17:56:45.324 10/08/2055]',-127.375,-62.906,-9.768,-10.549,0.000,-152.381,-37.900,-32.430,10.940,0.000,-4.298,-45.324,0.000,-161.368,-7.033,-12.894,-8.205,0.000,-96.899,-101.587,30.476,-21.880,0.000,9.768,7.814,49.231,-61.734,30.476
'[17:56:45.328 10/08/2055]',-92.210,-56.654,-7.033,-15.238,0.000,-110.183,-36.728,-34.383,9.768,0.000,-4.298,-47.277,0.000,-119.560,-13.675,-10.159,-1.172,0.000,-59.780,-74.237,-0.391,-9.377,0.000,7.033,8.987,40.635,-33.993,-0.391
'[17:56:45.332 10/08/2055]',-67.985,-57.045,-5.079,-19.145,0.000,-82.051,-40.244,-38.291,10.549,0.000,-8.205,-53.529,0.000,-87.912,-29.304,-23.443,4.689,0.000,-34.383,-38.681,-81.661,19.145,0.000,5.079,7.424,39.853,0.000,-81.661
'[17:56:45.336 10/08/2055]',-72.283,-62.515,-10.159,-27.741,0.000,-93.773,-33.602,-42.589,-2.344,0.000,-8.596,-57.045,0.000,-96.899,-34.774,-23.443,-13.675,0.000,-56.264,-90.647,3.516,-24.615,0.000,10.159,8.596,30.476,-50.012,3.516
'[17:56:45.340 10/08/2055]',-85.568,-64.469,-1.954,-30.867,0.000,-98.852,-37.118,-39.463,-7.033,0.000,-2.735,-54.701,0.000,-81.661,-33.993,-16.020,-2.735,0.000,-51.184,-91.429,42.589,-34.383,0.000,1.954,6.252,22.271,-50.794,42.589
'[17:56:45.344 10/08/2055]',-82.051,-60.952,-4.298,-32.821,0.000,-93.773,-37.509,-37.509,-11.331,0.000,3.516,-55.482,0.000,-89.866,-35.946,-16.801,4.298,0.000,-45.714,-57.436,-23.834,-9.768,0.000,4.298,0.781,19.145,-12.894,-23.834
'[17:56:45.348 10/08/2055]',-79.707,-64.860,-1.172,-32.039,0.000,-94.554,-32.821,-32.821,-17.192,0.000,7.814,-54.701,0.000,-109.011,-37.900,-13.675,-3.516,0.000,-71.502,-66.813,-8.987,-16.410,0.000,1.172,1.172,0.391,-9.768,-8.987
'[17:56:45.352 10/08/2055]',-52.747,-67.985,5.470,-29.695,0.000,-65.250,-39.072,-25.397,-14.066,0.000,8.596,-50.012,0.000,-70.330,-44.933,-5.079,3.516,0.000,-34.383,-6.252,-69.158,-6.642,0.000,-5.470,3.516,10.549,34.383,-69.158
'[17:56:45.355 10/08/2055]',-39.463,-64.860,2.735,-29.304,0.000,-49.231,-49.621,-20.708,-10.940,0.000,0.781,-49.621,0.000,-49.231,-60.171,-10.159,5.470,0.000,-13.675,-30.085,-91.819,21.880,0.000,-2.735,3.907,19.145,0.391,-91.819
'[17:56:45.359 10/08/2055]',-63.297,-77.363,3.516,-25.006,0.000,-80.488,-52.747,-14.066,-12.894,0.000,2.344,-43.370,0.000,-32.821,-39.072,-16.020,-17.192,0.000,-21.880,-92.991,19.145,-9.768,0.000,-3.516,12.503,0.391,-64.860,19.145
'[17:56:45.363 10/08/2055]',-58.608,-84.396,5.861,-18.364,0.000,-89.084,-48.840,-8.596,-7.814,0.000,4.689,-32.430,0.000,-42.589,-35.556,-1.172,-18.364,0.000,-26.960,-121.123,80.098,-30.476,0.000,-5.861,19.927,0.000,-93.382,80.098
'[17:56:45.367 10/08/2055]',-73.846,-81.661,2.735,-17.192,0.000,-115.653,-42.589,-3.907,-7.033,0.000,7.424,-20.317,0.000,-55.873,-28.132,10.940,-13.284,0.000,-31.648,-119.170,96.117,-31.648,0.000,-2.735,20.317,-7.814,-92.601,96.117
